Fixed effect,*β*,*SE*,*t*
(Intercept),21.128297073,0.648217038773,32.5944796407
Trial nr.,-0.0199509414978,0.00411974395905,-4.84276248625
Fix nr.,-0.0340184032515,0.00931796286775,-3.65084125514
Luminance,8.92768457294,0.623341259084,14.32230651
Eccentricity,-0.0114018777674,0.000872015823091,-13.0753106371
Horiz. gaze pos.,0.00023001760811,0.000423505177877,0.543128207458
Vert. gaze pos.,-0.0119438722871,0.000588441537936,-20.2974663023
Sacc. size,-0.00359282068113,0.000747288568115,-4.80780897022
Pupil size,1.55851686634,0.481895339245,3.23413973828
