effect,est,se,t
(Intercept),33.7178152765,1.11736143617,30.176283327
trialId,0.00429858693098,0.00258525447919,1.66273261127
saccNr,-0.0430054044676,0.00783557760872,-5.48847916709
lumFrom,-4.42454406522,0.670433003902,-6.59953200314
eccFrom,-0.0143393844412,0.000803936861089,-17.8364559896
fromX,-0.00184680098217,0.000372171506296,-4.96223099008
fromY,-0.0130460435308,0.000506926284669,-25.735583112
iSacc,0.00324548827968,0.00136266083057,2.38172860544
size,-0.00453060673111,0.000728834699441,-6.2162335775
pupilSize,2.67980808833,0.45203317639,5.92834382144
